Feature ID,Feature Name,Cluster 1 Mean Counts,Cluster 1 Log2 fold change,Cluster 1 Adjusted p value,Cluster 2 Mean Counts,Cluster 2 Log2 fold change,Cluster 2 Adjusted p value
ENSMUSG00000051951,Xkr4,5.302554132768395,0.5236600748252209,1,3.7400829124463857,-0.5236600748252209,1
ENSMUSG00000089699,Gm1992,0.12806383253700673,1.1293332091360577,0.7744825072055928,0.040000886764132465,-1.1293332091360577,0.7744825072055928
ENSMUSG00000102331,Gm19938,0.5343107679738447,-0.1851576359352296,1,0.6000133014619871,0.1851576359352296,1
ENSMUSG00000025900,Rp1,0.011383451781067264,-0.6980873359756519,1,0,0.6980873359756519,1
ENSMUSG00000025902,Sox17,0.06189751905955325,-0.32611855858869454,0.9571121741558541,0.060001330146198704,0.32611855858869454,0.9571121741558541
ENSMUSG00000104238,Gm37587,0.000711465736316704,-3.785550177225992,1,0,3.785550177225992,1
ENSMUSG00000104328,Gm37323,0.000711465736316704,-3.785550177225992,1,0,3.785550177225992,1
ENSMUSG00000033845,Mrpl15,1.0970801654003577,1.5580446559011576,0.17395964611552028,0.3600079808771922,-1.5580446559011576,0.17395964611552028
ENSMUSG00000025903,Lypla1,0.48877696084957567,0.7338239818675878,0.8813344473530665,0.2800062073489273,-0.7338239818675878,0.8813344473530665
ENSMUSG00000033813,Tcea1,1.5716278115235993,1.2798863576943487,0.2813827296220189,0.6400141882261194,-1.2798863576943487,0.2813827296220189
ENSMUSG00000002459,Rgs20,0.8936009648137803,0.7553312550310475,1,0.5200115279337221,-0.7553312550310475,1
ENSMUSG00000033793,Atp6v1h,1.4364493216234255,0.9091871815509169,0.5959768438452278,0.7600168485185169,-0.9091871815509169,0.5959768438452278
ENSMUSG00000025905,Oprk1,0.000711465736316704,-3.785550177225992,1,0,3.785550177225992,1
ENSMUSG00000025907,Rb1cc1,1.5111532239366794,-0.0360837994906682,1,1.5600345838011662,0.0360837994906682,1
ENSMUSG00000090031,4732440D04Rik,0.08537588835800448,0.13331306004860277,1,0.060001330146198704,-0.13331306004860277,1
ENSMUSG00000087247,Alkal1,0.002134397208950112,-2.785550177225992,1,0,2.785550177225992,1
ENSMUSG00000033740,St18,0.16292565361652522,0.25258495166077966,1,0.12000266029239741,-0.25258495166077966,1
ENSMUSG00000051285,Pcmtd1,1.4770028685934775,0.42738040156105206,1,1.100024386013643,-0.42738040156105206,1
ENSMUSG00000097797,Gm26901,0.1572339277259916,-0.16105931231819826,1,0.16000354705652986,0.16105931231819826,1
ENSMUSG00000025909,Sntg1,1.3034052289322018,0.14755029770537553,1,1.1800261595419077,-0.14755029770537553,1
ENSMUSG00000061024,Rrs1,0.3720965800936362,2.6629103235903027,0.04254511133360625,0.040000886764132465,-2.6629103235903027,0.04254511133360625
ENSMUSG00000025911,Adhfe1,0.03130449239793498,-0.8786595816174732,1,0.040000886764132465,0.8786595816174732,1
ENSMUSG00000079671,2610203C22Rik,0.009249054572117152,-0.9781952551683872,1,0,0.9781952551683872,1
ENSMUSG00000067879,Vxn,0.16150272214389183,0.4623773362175938,1,0.10000221691033118,-0.4623773362175938,1
ENSMUSG00000025912,Mybl1,0.07185803936798711,-0.11312483525449624,1,0.060001330146198704,0.11312483525449624,1
ENSMUSG00000045210,Vcpip1,0.4482234138795235,-0.007615938300455705,1,0.44000975440545714,0.007615938300455705,1
ENSMUSG00000097893,1700034P13Rik,0.014229314726334081,-0.39323275444723116,1,0,0.39323275444723116,1
ENSMUSG00000025915,Sgk3,0.13090969548227355,-0.5760968115970422,0.9693682413662276,0.1800039904385961,0.5760968115970422,0.9693682413662276
ENSMUSG00000046101,Mcmdc2,0.04055354697005213,0.0724308179015809,1,0.020000443382066233,-0.0724308179015809,1
ENSMUSG00000098234,Snhg6,1.3660142137280717,1.3672041242760669,0.2332520076913688,0.5200115279337221,-1.3672041242760669,0.2332520076913688
ENSMUSG00000099032,Tcf24,0.000711465736316704,-3.785550177225992,1,0,3.785550177225992,1
ENSMUSG00000025916,Ppp1r42,0.004268794417900224,-1.9781952551683872,1,0,1.9781952551683872,1
ENSMUSG00000025917,Cops5,1.538900387653031,1.7089721058796674,0.08671118285107571,0.4600101977875234,-1.7089721058796674,0.08671118285107571
ENSMUSG00000056763,Cspp1,1.9145542964282507,0.2869844224969631,1,1.5800350271832324,-0.2869844224969631,1
ENSMUSG00000067851,Arfgef1,1.1347878494251429,-0.1896993603620993,1,1.3000288198343053,0.1896993603620993,1
ENSMUSG00000042501,Cpa6,0.000711465736316704,-3.785550177225992,1,0,3.785550177225992,1
ENSMUSG00000048960,Prex2,0.21841998104922813,-0.10372613725224644,1,0.22000487720272857,0.10372613725224644,1
ENSMUSG00000057715,A830018L16Rik,0.3521755394767685,-0.15328196172647868,1,0.38000842425925846,0.15328196172647868,1
ENSMUSG00000097171,Gm17644,0.000711465736316704,-3.785550177225992,1,0,3.785550177225992,1
ENSMUSG00000016918,Sulf1,0.022766903562134528,-2.3261185585886945,0.3737574220057863,0.10000221691033118,2.3261185585886945,0.3737574220057863
ENSMUSG00000025938,Slco5a1,0.7698059266946737,0.009865131520086945,1,0.7600168485185169,-0.009865131520086945,1
ENSMUSG00000099498,Gm29283,0.000711465736316704,-3.785550177225992,1,0,3.785550177225992,1
ENSMUSG00000042414,Prdm14,0.000711465736316704,-3.785550177225992,1,0,3.785550177225992,1
ENSMUSG00000005886,Ncoa2,2.0077563078857388,0.4680098705947512,1,1.460032366890835,-0.4680098705947512,1
ENSMUSG00000101476,Gm29570,0.001422931472633408,-3.2005876765048358,1,0,3.2005876765048358,1
ENSMUSG00000025935,Tram1,0.44537755093425674,0.5998808599675289,1,0.2800062073489273,-0.5998808599675289,1
ENSMUSG00000025937,Lactb2,0.07399243657693721,-1.071304659559869,0.6586490407910112,0.14000310367446364,1.071304659559869,0.6586490407910112
ENSMUSG00000067813,Xkr9,0.000711465736316704,-3.785550177225992,1,0,3.785550177225992,1
ENSMUSG00000025932,Eya1,0.35573286815835203,0.4826768978281246,1,0.24000532058479482,-0.4826768978281246,1
ENSMUSG00000054493,Gm9947,0.002845862945266816,-2.4636220823386283,1,0,2.4636220823386283,1
ENSMUSG00000025930,Msc,0.001422931472633408,-4.200587676504836,0.4835894684272983,0.020000443382066233,4.200587676504836,0.4835894684272983
ENSMUSG00000092083,Kcnb2,6.696315510212819,1.0661605481409064,0.4598178526435957,3.24007182789473,-1.0661605481409064,0.4598178526435957
ENSMUSG00000025925,Terf1,0.5727299177349467,0.9621952556934572,0.6425257631262556,0.2800062073489273,-0.9621952556934572,0.6425257631262556
ENSMUSG00000032719,Sbspon,0.004268794417900224,-1.9781952551683872,1,0,1.9781952551683872,1
ENSMUSG00000067795,4930444P10Rik,0.06616631347745347,0.7690386744516458,1,0.020000443382066233,-0.7690386744516458,1
ENSMUSG00000043716,Rpl7,15.061729637824625,2.374798252519364,0.004887923313011538,2.9400651771637363,-2.374798252519364,0.004887923313011538
ENSMUSG00000025921,Rdh10,0.1045854632385555,-1.035528430234339,0.5294048713425492,0.20000443382066235,1.035528430234339,0.5294048713425492
